merchant_id,account_name,account_type,sector,mcc,account_owner,account_status,activated_date,country,referral_source,mcc_code,converted,activate_year,activate_month
158012,Kraftory Biergarten Limited,Bar / Lounge,Hospitality,"5813- Drinking Places (Alcoholic Beverages), Bars, Taverns, Cocktail Lounges, Nightclubs & Discotheques",Anthony Ngunyi,Finalized,2025-09-16,Kenya,Employee Referral,5813.0,1,2025.0,9.0
154300,Man Talk Solutions,E-Commerce,E-Commerce,"7392- Consulting, Management and Public Relations Services",Jonathan Mwai,Finalized,2025-04-29,Kenya,Helpdesk,7392.0,1,2025.0,4.0
157474,VINITA SUPERMARKET,Super Market / Self Service Store,Retail,5411-Grocery Store/Supermarket (Retail),Sandra Ninsiima,Finalized,2025-04-28,Uganda,Self Search,5411.0,1,2025.0,4.0
157414,RENDEZVOUS WILD EXPENDITIONS (WILDEX) LTD,Lodge,Hospitality,"7011- Hotels, Motels and Resorts",Stephen Kagaba,Finalized,2025-04-25,Uganda,Self Search,7011.0,1,2025.0,4.0
157479,KENOL CONSULTANTS -SMC LTD,Consultancy,Retail,"7392- Consulting, Management and Public Relations Services",Raymond Eguru,Account Closed,2025-04-25,Uganda,Self Search,7392.0,0,2025.0,4.0
156997,Juma Zanzibar Tours & Safari,Tour Operator,Travel,4722- Travel Agencies Tour Operators,William Lendukai,Finalized,2025-05-04,Tanzania,Self Search,4722.0,1,2025.0,5.0
157437,Replica Bakery & Cafe Ltd,Restaurant,Hospitality,5812- Eating Place & Restaurant,Jonathan Mwai,Finalized,2025-04-29,Kenya,Account Management Referral,5812.0,1,2025.0,4.0
133947,Drip Emporium Store,E-Commerce,E-Commerce,5691- Men and Women Clothing Stores,Jonathan Mwai,Finalized,2025-05-04,Kenya,Helpdesk,5691.0,1,2025.0,5.0
157325,WISE PIPS,General Service Provider,Retail,"7392- Consulting, Management and Public Relations Services",Elia Mwakijale,Closed Due To Fraud,2025-04-28,Tanzania,Chat,7392.0,0,2025.0,4.0
158238,HOPE TOURS AFRICA Ltd,Tour Operator,Travel,4722- Travel Agencies Tour Operators,Collins Kweyamba,Activated,2025-05-07,Rwanda,Web Research,4722.0,1,2025.0,5.0
157492,KITHUMULANI RESORT LIMITED,Hotel,Hospitality,"7011- Hotels, Motels and Resorts",Alexander Maleko,Finalized,2025-04-25,Kenya,Bank Referral,7011.0,1,2025.0,4.0
157366,BUWEGO TECHNOLOGIES,General Service Provider,Retail,5399-Miscellaneous General Merchant (Small Retail),Stephen Kagaba,Finalized,2025-04-24,Uganda,Sales Drive_ Kabale,5399.0,1,2025.0,4.0
157411,PUGU ECO CAMP,Lodge,Hospitality,"7011- Hotels, Motels and Resorts",Elia Mwakijale,Finalized,2025-04-25,Tanzania,Self Search,7011.0,1,2025.0,4.0
157515,7980 LIMITED,Bar / Lounge,Hospitality,5812- Eating Place & Restaurant,Bestina Ngagani,Finalized,2025-04-25,Tanzania,Bank Referral,5812.0,1,2025.0,4.0
143582,Allies Tech Hub Limited,E-Commerce,E-Commerce,5399-Miscellaneous General Merchant (Small Retail),Joseph Mbothu,Closed Due To Fraud,2025-04-24,Kenya,Chat,5399.0,0,2025.0,4.0
157415,Safari Tanganyika,Tour Operator,Travel,4722- Travel Agencies Tour Operators,Bestina Ngagani,Finalized,2025-04-24,Tanzania,Sales Drive_Nothern Tanzania,4722.0,1,2025.0,4.0
152890,Great Journey Safari,Tour Operator,Travel,4722- Travel Agencies Tour Operators,Bestina Ngagani,Finalized,2025-04-24,Tanzania,Sales Drive_Nothern Tanzania,4722.0,1,2025.0,4.0
157412,Kibo slopes Safaris Limited,Tour Operator,Travel,4722- Travel Agencies Tour Operators,Daniel Chebon,Finalized,2025-05-02,Kenya,Self Search,4722.0,1,2025.0,5.0
158689,Dawn Culinary Sunrise Limited,Restaurant,Hospitality,5812- Eating Place & Restaurant,Janet Lenakae,Finalized,2025-05-09,Kenya,Account Management Referral,5812.0,1,2025.0,5.0
157373,LEHI TANZANIA SAFARIS,Tour Operator,Travel,4722- Travel Agencies Tour Operators,David Msando,Activated,2025-04-24,Tanzania,Self Search,4722.0,1,2025.0,4.0
157371,ZIMBA TOUR AND SAFARI,Tour Operator,Travel,4722- Travel Agencies Tour Operators,David Msando,Finalized,2025-04-25,Tanzania,Account Management Referral,4722.0,1,2025.0,4.0
157410,Believe Safaris Limited,Tour Operator,Travel,4722- Travel Agencies Tour Operators,Peter Robinson,Activated,2025-09-30,Kenya,Self Search,4722.0,1,2025.0,9.0
